ï»¿dummy        {'LANG:EN', 'dummy'}
a               {'-SPEC:ADV', 'LF:to', '-SPEC:*', 'COMP:ARE/inf', '-COMP:A', 'LANG:IT', '-COMP:T/fin', '-VAL', '-SPEC:iWH', '-SPEC:INF', 'P', '-COMP:ADV', '-SPEC:V', 'COMP:D', '-SPEC:T/fin', '-COMP:T', '-SPEC:iR', '-SPEC:P', '-SPEC:C', '-ARG', '-SPEC:v', 'PF:a', '-COMP:N', '-SPEC:N', '-COMP:uWH', 'TAIL:V', '-SPEC:C/fin', '!COMP:*', '-SPEC:FORCE', 'adjoinable', '-SPEC:Neg/fin'}
a_D             {'LANG:EN', '!PROBE:N', '-SPEC:MA/lla', '-COMP:P', '-COMP:T/fin', '-SPEC:INF', '-COMP:D', '-COMP:uR', 'LF:D', '-SPEC:V', '-SPEC:T/fin', '-SPEC:P', 'PF:D', '-SPEC:C', '-ARG', 'COMP:N', 'OP', 'D', '!COMP:*', 'adjoinable', '-SPEC:Neg/fin'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'COMP:P', 'SPEC:P', 'PHI:GEN:_', 'LANG:EN', 'SPEC:TO/inf', '-VAL', '-COMP:P', 'ASP', '-COMP:V', 'PHI:PER:_', 'PHI:NUM:_', 'COMP:D', 'ARG', '-SPEC:T/fin', 'LF:admire', '-COMP:Neg', 'PHI:DET:_', '-COMP:N', '-COMP:v', 'CLASS:TR', 'V', 'PF:admire', '!COMP:*', '-SPEC:FORCE', '-SPEC:Neg', 'SPEC:ADV'}
admire*         ['LANG:EN']
T/fin*          {'LF:T', "PF:T/fin'", 'LANG:EN', '-VAL', '!SPEC:*', 'CAT:T/fin', 'NO_DET', 'NO_NUMBER'}
v*              {'PF:v', 'NO_DET', 'LANG:EN', 'LF:v', 'CAT:v', '-VAL', 'NO_NUMBER'}
admire**        ['LANG:EN']
T/fin**         {'LF:T', 'PHI:PER:3', 'LANG:EN', '-VAL', '!SPEC:*', 'CAT:T/fin', 'NO_DET', "PF:T/fin''", 'NO_PERSON', 'NO_NUMBER'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'PF:adora', 'COMP:P', 'SPEC:P', 'PHI:GEN:_', 'SPEC:TO/inf', 'LANG:IT', '-VAL', 'ASP', '-COMP:V', 'PHI:PER:_', 'PHI:NUM:_', 'COMP:D', 'ARG', '-SPEC:T/fin', 'LF:admire', 'PHI:DET:_', '-COMP:N', '-COMP:v', 'V', '-SPEC:FORCE', 'SPEC:ADV'}
antaa           ['LANG:FI']
