ï»¿dummy        {'dummy', 'LANG:EN'}
a               {'-SPEC:FORCE', '-COMP:ADV', '-SPEC:Neg/fin', '!COMP:*', '-ARG', '-SPEC:C', '-SPEC:ADV', '-SPEC:INF', '-COMP:N', '-SPEC:N', '-SPEC:iR', 'PF:a', '-SPEC:v', '-SPEC:*', '-SPEC:iWH', 'adjoinable', 'LF:to', '-SPEC:T/fin', 'COMP:ARE/inf', '-COMP:uWH', 'P', '-SPEC:P', 'COMP:D', '-VAL', '-SPEC:V', '-COMP:T/fin', 'LANG:IT', '-SPEC:C/fin'}
a_D             {'-SPEC:Neg/fin', '-SPEC:D', '!COMP:*', '-SPEC:C', '-ARG', '-SPEC:INF', '-SPEC:N', 'OP', '-COMP:D', '!PROBE:N', '-COMP:T/fin', 'LF:D', 'D', '-SPEC:MA/lla', '-COMP:uR', '-SPEC:T/fin', 'adjoinable', '-SPEC:P', '-SPEC:V', 'PF:D', 'COMP:N', 'LANG:EN'}
admire          ['LANG:EN']
admire'         ['LANG:EN']
admires         ['LANG:EN']
admire-         {'-SPEC:FORCE', '!COMP:*', 'PHI:DET:_', 'SPEC:P', 'V', 'LF:admire', 'SPEC:TO/inf', '-COMP:N', 'PHI:PER:_', 'PHI:NUM:_', '-COMP:v', '-COMP:Neg', 'COMP:P', '-COMP:V', 'ARG', '-COMP:P', '-SPEC:Neg', '-SPEC:T/fin', 'ASP', 'SPEC:ADV', 'PF:admire', 'CLASS:TR', 'COMP:D', '-VAL', '-COMP:T/fin', 'PHI:GEN:_', 'LANG:EN'}
admire*         ['LANG:EN']
T/fin*          {'NO_NUMBER', 'LANG:EN', 'LF:T', '!SPEC:*', 'NO_DET', '-VAL', "PF:T/fin'", 'CAT:T/fin'}
v*              {'NO_NUMBER', 'NO_DET', '-VAL', 'CAT:v', 'LF:v', 'PF:v', 'LANG:EN'}
admire**        ['LANG:EN']
T/fin**         {'NO_NUMBER', 'PHI:PER:3', 'LANG:EN', 'LF:T', 'NO_PERSON', '!SPEC:*', "PF:T/fin''", 'NO_DET', '-VAL', 'CAT:T/fin'}
adoro           ['LANG:IT']
adori           ['LANG:IT']
adora           ['LANG:IT']
adoriamo        ['LANG:IT']
adorate         ['LANG:IT']
adorano         ['LANG:IT']
adora-          {'-SPEC:FORCE', 'PHI:DET:_', 'SPEC:P', 'V', 'PF:adora', 'LF:admire', 'SPEC:TO/inf', '-COMP:N', 'PHI:PER:_', 'PHI:NUM:_', '-COMP:v', 'COMP:P', '-COMP:V', 'ARG', '-SPEC:T/fin', 'ASP', 'SPEC:ADV', 'COMP:D', '-VAL', '-COMP:T/fin', 'LANG:IT', 'PHI:GEN:_'}
antaa           ['LANG:FI']
anta-           {'-SPEC:FORCE', 'LF:give', 'CLASS:DITR', 'ASP:BOUNDED', '!COMP:*', 'PHI:DET:_', 'SPEC:P', 'V', 'SPEC:TO/inf', '-COMP:N', 'PHI:PER:_', 'LANG:FI', 'PHI:NUM:_', '-COMP:v', 'COMP:P', '-COMP:FIN', '-COMP:V', 'SPEC:D', 'ARG', '-SPEC:T/fin', 'ASP', 'SPEC:ADV', 'PF:antaa', '+SEM:directional', 'COMP:D', '-VAL', '-COMP:T/fin'}
antoi           ['LANG:FI']
asks            ['LANG:EN']
ask'            {'-SPEC:FORCE', 'PHI:DET:_', 'SPEC:P', 'V', 'SPEC:TO/inf', 'PF:ask', '-COMP:N', 'PHI:PER:_', 'PHI:NUM:_', 'SEM:internal', 'LF:ask', '-COMP:v', 'COMP:P', '-COMP:V', 'SPEC:D', 'ARG', '-SPEC:T/fin', 'ASP', 'SPEC:ADV', 'COMP:D', '-VAL', '-COMP:T/fin', 'PHI:GEN:_', 'LANG:EN'}
ask-            {'-SPEC:FORCE', 'PHI:DET:_', 'SPEC:P', 'V', 'SPEC:TO/inf', 'PF:ask', '-COMP:N', 'PHI:PER:_', 'PHI:NUM:_', 'SEM:internal', 'LF:ask', '-COMP:v', 'COMP:P', '-COMP:V', 'SPEC:D', 'ARG', '-SPEC:T/fin', 'ASP', 'SPEC:ADV', 'COMP:D', '-VAL', '-COMP:T/fin', 'PHI:GEN:_', 'LANG:EN'}
avain_0acc      ['LANG:EN']
avain_nom       ['LANG:EN']
avain           ['LANG:EN']
avaimen_acc     ['LANG:EN']
avaimen         ['LANG:EN']
avaimet         ['LANG:EN']
avainta         ['LANG:EN']
avain-          {'-SPEC:R', '-SPEC:FORCE', '-COMP:ADV', 'PF:avain', '-SPEC:ADV', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'LANG:FI', '-COMP:AUX', '-COMP:C/fin', '-COMP:D', '-COMP:v', 'N', 'LF:key', 'COMP:P', '-COMP:V', '-COMP:A', 'SPEC:A', '-SPEC:T/fin', '-SEM:directional', '-COMP:WH', '-SPEC:P', 'COMP:R', 'COMP:R/D', '-SPEC:V', '-COMP:T/fin', 'COMP:uR', '-SPEC:C/fin', '-SPEC:uWH'}
auton           ['LANG:FI']
auto            ['LANG:FI']
auto-           {'-SPEC:R', '-SPEC:FORCE', '-COMP:ADV', 'LF:car', '-SPEC:ADV', '-SPEC:INF', '-COMP:N', '-SPEC:N', 'LANG:FI', '-COMP:AUX', '-COMP:C/fin', '-COMP:D', '-COMP:v', 'N', 'COMP:P', '-COMP:V', 'PF:auto', '-COMP:A', 'SPEC:A', '-SPEC:T/fin', '-SEM:directional', '-COMP:WH', '-SPEC:P', 'COMP:R', 'COMP:R/D', '-SPEC:V', '-COMP:T/fin', 'COMP:uR', '-SPEC:C/fin', '-SPEC:uWH'}
city            {'-SPEC:R', '-SPEC:FORCE', '-COMP:ADV', '-SPEC:ADV', '-SPEC:INF', 'LF:city', '-COMP:N', '-SPEC:N', '-COMP:C/fin', '-COMP:AUX', '-COMP:D', '-COMP:v', 'N', 'COMP:P', '-SPEC:uWH', '-COMP:V', '-COMP:A', 'SPEC:A', '-SPEC:T/fin', 'PF:city', '-COMP:WH', '-SPEC:P', 'COMP:R', 'COMP:R/D', '-SPEC:V', '-COMP:T/fin', 'COMP:uR', '-SPEC:C/fin', 'LANG:EN'}
che             ['LANG:IT']
che-            {'-SPEC:R', '-SPEC:FORCE', '-COMP:ADV', '-SPEC:ADV', '-SPEC:INF', 'LF:who', '-COMP:N', '-SPEC:N', '-COMP:C/fin', '-COMP:AUX', '-COMP:D', '-COMP:v', 'N', 'COMP:P', 'PF:che', '-COMP:V', 'PHI_N', '-COMP:A', 'SPEC:A', '-COMP:T/fin', '-SPEC:T/fin', '-COMP:WH', '-COMP:*', '-SPEC:P', 'COMP:R', 'COMP:R/D', '-SPEC:V', 'COMP:uR', 'LANG:IT', '-SPEC:C/fin', '-SPEC:uWH'}
chiamato        ['LANG:IT']
